GT-? - Galera da Toca™ [0,0]

Código: Selecionar tudo
    alianca   jogador   aldeia mais proxima   media p/ WW   qtde aldeias   media pop
    GT-B   ronark   17,49   24,33   9   637
    GT-B   Viriato   44,18   46,07   9   733
    GT-B   zarak   14,56   26,46   9   740
    GT-C   deathproof   46,1   47,73   8   680
    GT-C   faisca   11,05   39,9   9   668
    GT-C   STARS   42,8   44,7   6   709
    GT-C   Truco Memo   15,13   23,14   10   671
    GT-D   bje   17,2   28,14   11   828
    GT-D   didopo77   2,83   39,68   7   658
    GT-D   Dipp   17,2   28,27   20   683
    GT-D   Mehul   20,62   26,42   7   615
    GT-D   Titio   1,41   37   25   715
    GT-D   TOMAR   3,16   29,33   7   614
    GT-E   aqua   5,1   12,58   28   901
    GT-E   bicho_toido   42,95   47,1   15   794
    GT-E   ChuckNorris GT   25   30,43   13   830
    GT-E   DeusGT   32,65   45,57   7   903
    GT-E   hum de esparta   37,01   41,99   16   755
    GT-E   Pneo26 Puc   41,05   44,78   7   836
    GT-E   SeverO   40,31   41,59   7   783
    GT-H   Hellvigox   35   38,69   8   658
    GT-H   rederik   37,34   39,79   6   619
    GT-J   _Fly_   5,1   26,19   15   861
    GT-J   Abreu-coelho   38,01   46,4   11   711
    GT-J   acmdinis   4,12   14,85   29   758
    GT-J   alladar   37,12   38,34   5   602
    GT-J   DGB   1,41   6,97   30   763
    GT-J   Jert   20,62   28,37   17   804
    GT-J   renancuevas   24,04   41,3   12   742
    GT-K   aisha_amonrá   36,88   42,37   17   623
    GT-K   ClaustS01   31,58   37,42   8   688
    GT-K   dosítio   41,44   44,41   9   677
    GT-K   erhoo   8,54   17,39   15   763
    GT-K   Objetivo   21,47   24,37   11   688
    GT-K   Shadowkina   38,21   40,09   8   894
    GT-K   v&a   8,25   38,42   8   722
    GT-K   vaspp   38,01   43,31   12   743
    GT-K   W.ESTERMINADOR   19,72   27,98   18   736
    GT-L   andrecarioca   43,57   45,67   7   837
    GT-L   Orix   27,46   31,34   13   876
    GT-L   pimentaforte   36,62   41,92   13   680
    GT-M   Menina   42,15   44,68   9   822
    GT-M   Pedrinho   45,19   46,98   11   668



GT-? - Galera da Toca™ [-125,125]

Código: Selecionar tudo



GT-? - Galera da Toca™ [125,-125]

Código: Selecionar tudo



GT-? - Galera da Toca™ [-125,-125]

Código: Selecionar tudo
    alianca   jogador   aldeia mais proxima   media p/ WW   qtde aldeias   media pop
    GT-1   __Xplod__   7   16,75   12   730
    GT-1   _willian_   40,05   41,04   5   791
    GT-1   khayashi   1,41   4,83   8   749
    GT-1   luis.imy   19,65   31,25   11   708
    GT-1   ricardo_sampaio   1   19,33   15   683
    GT-1   The Sim   47,42   48,52   5   633
    GT-2   Jani   40,05   46,44   14   752
    GT-2 ACD   paulo_pits   27,66   36,57   12   696
    GT-3   Escorpião   38,18   44,23   8   657
    GT-3   Lekoo   38,21   42,11   7   701
    GT-3   pppxd   29   36,78   11   755
    GT-3   Walant   38,29   41,56   15   605
    GT-4   2net   25   32,34   6   626
    GT-4   Br4zZilL   44,78   46,04   5   754
    GT-4   Brother   39,92   42,31   5   717
    GT-4   F0FA0   13,89   31,2   11   691
    GT-4   fehinsano   35,61   38,23   6   685
    GT-4   ttfc   22,63   30,48   10   614
    GT-6   biuds   36,07   42,87   7   711
    GT-6   Fadisp_Boy   7,21   18,68   9   681
    GT-6   thi.salla   4,24   12,32   6   785
    GT-F   jeff_inho13   46,23   48,07   6   675
    GT-F   Nightmare Mel   44,28   46,28   9   638
    GT-F   Sir_Dracon   18,11   31,89   17   700
    GT-F   xfiless   32,76   37,57   11   684
    GT-I   cabrita   25,81   35,17   14   686
    GT-I   Calciatore   13   20,03   6   725
    GT-I   carolas   29,02   34,57   10   662
    GT-I   fabiojls   1   32,39   12   681
    GT-I   furns   21,02   24,26   14   691
    GT-I   juninhosbs   25,3   27,44   6   634
    GT-I   olivera   42,06   44,75   6   633
    GT-I   rodriguestete   16,03   27,28   12   706
    GT-I   torpedo   6,32   10,22   12   666
    GT-W   gutoinsano   31,89   37,38   6   642
    GT-W   Taj Mahal   3,61   41,78   11   885
    GT-Y   Giullian   19,24   34,25   12   682
    GT-Y   L3GU1N0   20,1   28,24   8   649
    GT-Y   Tiziu20   18,25   26,08   7   740
    GT-Y   Veeegos   34,23   35,82   5   774


